movie,production_budget,worldwide_gross,profit_percent,genres,release_year,month,tconst
Freakonomics,2900000,172867,-94.04,['Documentary'],2010,10,tt1152822
Griff the Invisible,2900000,25935,-99.11,"['Comedy', 'Drama', 'Romance']",2011,8,tt1509803
Indivisible,2700000,3588305,32.9,['Documentary'],2018,10,tt5147828
Ida,2600000,15298355,488.4,['Drama'],2014,5,tt2718492
The Spectacular Now,2500000,6916951,176.68,"['Comedy', 'Drama', 'Romance']",2013,8,tt1714206
Robot & Frank,2500000,4934356,97.37,"['Comedy', 'Crime', 'Drama']",2012,8,tt1990314
The Lost Medallion: The Adventures of Billy Stone,2500000,549632,-78.01,"['Adventure', 'Family', 'Fantasy']",2013,3,tt1390539
Super,2500000,593933,-76.24,"['Action', 'Comedy', 'Drama']",2011,4,tt1512235
8: The Mormon Proposition,2500000,100280,-95.99,['Documentary'],2010,6,tt1484522
Underdogs,2500000,1392649,-44.29,"['Drama', 'Family', 'Sport']",2013,8,tt2123342
Go For It!,2450000,182358,-92.56,"['Drama', 'Musical']",2011,5,tt1307926
Do You Believe?,2300000,14304931,521.95,['Drama'],2015,3,tt4056738
Frontera,2300000,59696,-97.4,"['Drama', 'Thriller', 'Western']",2014,9,tt2510028
Redemption Road,2300000,29384,-98.72,['Drama'],2011,8,tt1470020
Mi America,2100000,3330,-99.84,"['Crime', 'Drama']",2016,10,tt2460506
Eighth Grade,2000000,14341016,617.05,"['Comedy', 'Drama']",2018,7,tt7014006
Silent House,2000000,16610760,730.54,"['Drama', 'Horror', 'Mystery']",2012,3,tt1767382
Hardcore Henry,2000000,17187434,759.37,"['Action', 'Adventure', 'Sci-Fi']",2016,4,tt3072482
Winter's Bone,2000000,16131551,706.58,"['Drama', 'Mystery']",2010,6,tt1399683
Meet the Mormons,2000000,6049171,202.46,['Documentary'],2014,10,tt4003774
The Florida Project,2000000,11295324,464.77,['Drama'],2017,10,tt5649144
All Saints,2000000,5941994,197.1,['Drama'],2017,8,tt4663548
Inside Job,2000000,7799257,289.96,"['Crime', 'Documentary']",2010,10,tt1645089
We Are Your Friends,2000000,10153415,407.67,"['Drama', 'Music', 'Romance']",2015,8,tt3787590
Captive,2000000,2791973,39.6,"['Action', 'Crime', 'Drama']",2015,9,tt3268668
Hearts Beat Loud,2000000,2420962,21.05,"['Comedy', 'Drama', 'Music']",2018,6,tt7158430
The Resurrection of Gavin Stone,2000000,2303792,15.19,"['Comedy', 'Drama', 'Family']",2017,1,tt4902904
The Diary of a Teenage Girl,2000000,2279959,14.0,"['Comedy', 'Drama', 'Romance']",2015,8,tt3172532
Locke,2000000,2088390,4.42,['Drama'],2014,4,tt2692904
Meek's Cutoff,2000000,1869928,-6.5,"['Drama', 'Western']",2011,4,tt1518812
The Babadook,2000000,7482387,274.12,"['Drama', 'Horror']",2014,11,tt2321549
The Virginity Hit,2000000,636706,-68.16,['Comedy'],2010,9,tt1695994
The Last Five Years,2000000,205298,-89.74,"['Comedy', 'Drama', 'Musical']",2015,2,tt2474024
Pump,2000000,72277,-96.39,['Documentary'],2014,9,tt2630916
Lost River,2000000,2009644,0.48,"['Drama', 'Fantasy', 'Mystery']",2015,4,tt2366608
Knock Knock,2000000,6328516,216.43,"['Drama', 'Thriller']",2015,10,tt3605418
The First Time,2000000,17061,-99.15,"['Comedy', 'Drama', 'Romance']",2012,10,tt1763303
Circle,2000000,10024,-99.5,"['Horror', 'Thriller']",2010,8,tt1129412
Plush,2000000,28864,-98.56,"['Drama', 'Music', 'Thriller']",2013,9,tt2226519
The Ghastly Love of Johnny X,2000000,2436,-99.88,"['Comedy', 'Fantasy', 'Musical']",2012,10,tt1754633
Brotherly Love,1900000,478595,-74.81,['Drama'],2015,4,tt3262990
Submarine,1900000,4581937,141.15,"['Comedy', 'Drama', 'Romance']",2011,6,tt1440292
ABCD (Any Body Can Dance),1900000,10137234,433.54,"['Drama', 'Music']",2013,2,tt2321163
Higher Ground,1800000,842693,-53.18,['Drama'],2011,8,tt1562568
I Spit on Your Grave,1750000,1278471,-26.94,"['Horror', 'Thriller']",2010,10,tt1242432
The Lunchbox,1700000,12231500,619.5,"['Drama', 'Romance']",2014,2,tt2350496
Grace Unplugged,1700000,2507159,47.48,"['Drama', 'Music']",2013,10,tt2349460
N-Secure,1600000,2595644,62.23,"['Crime', 'Drama', 'Thriller']",2010,10,tt1289419
Two Night Stand,1600000,868081,-45.74,"['Comedy', 'Romance']",2014,9,tt2140619
The To Do List,1500000,4128828,175.26,"['Comedy', 'Romance']",2013,7,tt1758795
The Gatekeepers,1500000,2592308,72.82,"['Documentary', 'History', 'War']",2013,2,tt2309788
The Lords of Salem,1500000,1541131,2.74,"['Horror', 'Thriller']",2013,4,tt1731697
31,1500000,922727,-38.48,"['Horror', 'Thriller']",2016,10,tt3835080
MOOZ-lum,1500000,372239,-75.18,"['Drama', 'Family']",2011,2,tt1450328
Amigo,1500000,184705,-87.69,"['Drama', 'War']",2011,8,tt1562847
Road Hard,1500000,113169,-92.46,['Comedy'],2015,3,tt3110770
Mustang,1400000,5552584,296.61,['Drama'],2015,11,tt3966404
La chambre bleue,1400000,1945420,38.96,['Documentary'],2014,10,tt4586720
Eddie: The Sleepwalking Cannibal,1400000,1632,-99.88,"['Comedy', 'Horror']",2013,4,tt1480658
Above and Beyond,1300000,288751,-77.79,"['Adventure', 'Documentary', 'History']",2015,1,tt2704752
Dear White People,1250000,5403771,332.3,"['Comedy', 'Drama', 'Romance']",2014,10,tt2235108
Filly Brown,1250000,2940411,135.23,"['Drama', 'Music']",2013,4,tt1869425
Home Run,1200000,2859955,138.33,"['Drama', 'Sport']",2013,4,tt2051894
Blue Like Jazz,1200000,595018,-50.42,"['Comedy', 'Drama']",2012,4,tt1758575
"Pink Ribbons, Inc.",1200000,26608,-97.78,['Documentary'],2012,6,tt2035599
The Sleepwalker,1100000,2636,-99.76,['Drama'],2014,11,tt2723576
