movie,production_budget,worldwide_gross,profit_percent,genres,release_year,month,tconst
The Man Who Knew Infinity,10000000,12382122,23.82,"['Biography', 'Drama']",2016,4,tt0787524
Max Steel,10000000,4563080,-54.37,"['Action', 'Adventure', 'Family']",2016,10,tt1472584
Everybody Wants Some,10000000,5437126,-45.63,['Comedy'],2016,3,tt2937696
Rosewater,10000000,3185717,-68.14,"['Biography', 'Drama']",2014,11,tt2752688
Bucky Larson: Born to Be a Star,10000000,2529395,-74.71,['Comedy'],2011,9,tt1411664
The Iceman,10000000,3623609,-63.76,"['Biography', 'Crime', 'Drama']",2013,5,tt1491044
Testament of Youth,10000000,6646669,-33.53,"['Biography', 'Drama', 'History']",2015,6,tt1441953
Free Fire,10000000,3793739,-62.06,"['Action', 'Comedy', 'Crime']",2017,4,tt4158096
A Better Life,10000000,1884251,-81.16,"['Drama', 'Romance']",2011,6,tt1554091
The Joneses,10000000,3541565,-64.58,"['Comedy', 'Drama']",2010,4,tt1152830
Killer Joe,10000000,4659110,-53.41,"['Crime', 'Drama', 'Thriller']",2012,7,tt1726669
Churchill,10000000,7582196,-24.18,"['Biography', 'Drama', 'History']",2017,6,tt2674454
50 to 1,10000000,1069454,-89.31,['Drama'],2014,3,tt1777595
Coriolanus,10000000,2179623,-78.2,"['Drama', 'Thriller', 'War']",2012,1,tt1372686
Parkland,10000000,1616353,-83.84,"['Drama', 'History', 'Mystery']",2013,10,tt2345112
"Cinco de Mayo, La Batalla",10000000,173472,-98.27,"['Drama', 'History', 'War']",2013,5,tt2553908
Welcome to the Rileys,10000000,355919,-96.44,['Drama'],2010,10,tt1183923
Kicks,10000000,150191,-98.5,"['Adventure', 'Drama']",2016,9,tt4254584
Blood Done Sign My Name,10000000,109383,-98.91,['Drama'],2010,2,tt1210039
Elsa & Fred,10000000,197901,-98.02,"['Comedy', 'Drama', 'Romance']",2014,11,tt2113659
Strangerland,10000000,161097,-98.39,"['Drama', 'Mystery', 'Thriller']",2015,7,tt2325977
Barbecue,10000000,247565,-97.52,['Comedy'],2014,12,tt3202120
Friend Request,9900000,11310835,14.25,"['Horror', 'Thriller']",2017,9,tt3352390
Gunless,9900000,458054,-95.37,"['Action', 'Comedy', 'Drama']",2010,4,tt1376195
Amour,9700000,36787044,279.25,"['Drama', 'Romance']",2012,12,tt1602620
The Runaways,9500000,5278632,-44.44,"['Biography', 'Drama', 'Music']",2010,3,tt1017451
Melancholia,9400000,21817298,132.1,"['Drama', 'Sci-Fi']",2011,11,tt1527186
Jab Tak Hai Jaan,9200000,5806666,-36.88,"['Drama', 'Romance']",2012,11,tt2176013
Kites,9200000,17155193,86.47,"['Action', 'Drama', 'Romance']",2010,5,tt1198101
